Country,AreaName,Region,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Total
Netherlands,Europe,Western Europe,Developed regions,2700,3330,3460,1680,1210,1380,1440,1360,1360,1330,1340,1170,1260,1330,1520,1710,1670,1720,1880,2230,2360,2250,2080,2330,1900,1870,1980,1940,2030,107640
Pakistan,Asia,Southern Asia,Developing regions,290,420,280,350,460,950,1010,890,1020,1170,810,1250,1110,920,930,1500,1510,1540,1810,1860,2050,1770,1860,2570,2540,3360,4580,7030,6450,104580
Egypt,Africa,Northern Africa,Developing regions,330,400,390,400,650,800,1030,1270,1510,1170,850,1170,1280,930,880,880,830,750,780,860,1090,1380,1840,2890,4070,3800,2960,2000,1520,77420
Switzerland,Europe,Western Europe,Developed regions,1000,1210,1410,1100,880,950,1020,1010,1350,1290,1170,1240,1190,1180,1260,1430,1450,1400,1320,1430,1490,1880,1760,1580,1240,1270,1140,1200,1310,74320
United Arab Emirates,Asia,Western Asia,Developing regions,40,70,80,130,140,140,180,280,480,550,400,330,330,300,410,580,640,740,720,940,1080,1920,2630,3140,2760,3660,4680,3760,4160,70540
Austria,Europe,Western Europe,Developed regions,4100,3510,5120,1670,1040,970,1230,1480,1480,1050,770,510,600,570,790,660,600,640,590,600,700,1050,1070,1050,800,650,790,570,600,70520
Sweden,Europe,Northern Europe,Developed regions,550,580,610,410,480,470,640,880,1030,1030,1170,1020,880,870,830,980,1050,1090,1180,1480,1630,1890,1880,1760,1360,1270,1350,1430,1440,62480
Bangladesh,Asia,Southern Asia,Developing regions,170,180,220,140,170,220,190,150,270,270,400,600,690,360,690,1050,900,520,600,900,1180,1480,1810,2870,2970,1860,2570,3680,3160,60540
Israel,Asia,Western Asia,Developing regions,960,950,820,760,880,940,1190,1000,1060,880,1090,910,900,980,1020,1000,1030,1040,1030,1150,1070,1240,1460,1320,1030,1040,980,1230,1000,59920
Poland,Europe,Eastern Europe,Developed regions,310,630,1070,950,860,850,790,1100,1280,1160,1490,1970,1690,910,940,910,880,670,580,580,610,730,930,1010,1100,910,950,880,890,55260
Iran (Islamic Republic of),Asia,Southern Asia,Developing regions,320,170,180,290,360,420,440,590,630,490,1020,1160,1620,1080,980,1070,960,800,550,550,640,710,1140,1490,1250,1490,2320,2600,2310,55260
Zimbabwe,Africa,Eastern Africa,Developing regions,630,1120,1190,980,640,500,470,440,450,670,750,540,360,370,360,290,340,320,330,510,910,1500,1670,2330,1790,1560,1880,2180,2270,54700
Nepal,Asia,Southern Asia,Developing regions,50,60,40,50,70,80,80,140,130,100,130,180,210,150,300,480,510,390,430,440,570,520,510,460,580,780,1890,6700,10720,53500
Kenya,Africa,Eastern Africa,Developing regions,190,180,200,250,260,260,200,190,310,280,320,410,440,350,520,670,560,610,850,800,1010,1440,1810,2690,2760,2370,2180,1800,2030,51880
Chile,Latin America and the Caribbean,South America,Developing regions,590,430,490,750,1350,1980,2000,2180,2130,1090,810,860,590,490,550,690,730,520,610,520,470,510,560,590,610,720,800,980,1020,51240
Saudi Arabia,Asia,Western Asia,Developing regions,150,210,210,350,300,290,310,350,400,420,660,480,640,800,1230,1130,1150,940,520,600,560,680,740,980,750,1010,1210,2490,4430,47980
Spain,Europe,Southern Europe,Developed regions,930,1480,1460,690,600,820,870,770,690,620,610,520,650,750,720,660,660,650,590,530,650,690,790,750,1000,950,1010,1130,1400,47280
Portugal,Europe,Southern Europe,Developed regions,550,1710,1630,1300,1320,1690,1500,1870,1510,1240,1170,960,960,510,530,690,490,400,270,230,190,230,290,320,360,350,320,340,390,46640
Brazil,Latin America and the Caribbean,South America,Developing regions,270,220,290,230,310,320,320,250,420,350,280,300,370,300,320,360,350,330,420,490,540,680,700,810,1430,2050,2910,3370,4010,46000
Norway,Europe,Northern Europe,Developed regions,170,190,210,180,150,190,200,200,280,310,310,260,200,180,230,300,410,620,940,1450,2020,2660,2610,2420,1280,890,840,780,800,42560
Mauritius,Africa,Eastern Africa,Developing regions,270,240,210,450,480,540,930,2270,1210,290,340,380,360,270,240,280,350,280,410,490,680,720,840,1010,780,850,1200,1660,3160,42380
Denmark,Europe,Northern Europe,Developed regions,620,890,950,500,360,390,550,750,860,720,660,610,570,570,630,650,630,680,580,610,700,850,790,750,650,630,620,600,630,38000
Brunei Darussalam,Asia,South-Eastern Asia,Developing regions,80,100,140,150,170,200,280,600,1180,590,610,630,570,500,540,580,620,650,680,600,680,770,800,880,800,630,750,630,820,32460
Syrian Arab Republic,Asia,Western Asia,Developing regions,120,150,150,150,210,250,320,480,560,450,370,450,330,290,450,470,320,330,360,460,510,450,500,680,720,940,1480,1330,1870,30300
Jordan,Asia,Western Asia,Developing regions,40,60,60,110,120,160,280,340,260,240,280,440,600,320,340,630,580,440,520,590,790,700,910,1030,820,1190,980,760,1230,29640
Argentina,Latin America and the Caribbean,South America,Developing regions,570,640,850,520,400,540,650,630,630,660,740,730,520,290,310,370,350,290,340,350,380,430,500,580,560,450,430,460,490,29320
Malta,Europe,Southern Europe,Developed regions,1220,1850,880,610,660,820,800,680,530,370,310,280,310,270,340,380,340,280,300,210,190,170,230,250,290,250,250,230,250,27100
Bosnia and Herzegovina,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,2470,2140,1120,1600,700,560,370,310,240,240,240,250,300,320,24760
Croatia,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,210,630,1200,1380,1100,910,1120,840,950,830,580,510,360,590,400,270,340,24440
Cyprus,Asia,Western Asia,Developing regions,390,540,420,390,470,460,660,740,720,530,450,310,280,380,480,480,580,450,370,410,270,360,350,330,200,200,310,220,200,23900
Cambodia,Asia,South-Eastern Asia,Developing regions,0,0,10,10,0,0,0,0,30,20,20,60,220,480,1140,870,510,710,480,420,470,660,800,830,720,620,880,970,980,23820
Iraq,Asia,Western Asia,Developing regions,140,200,130,90,110,70,70,70,90,70,80,110,930,490,950,1410,930,950,840,400,250,50,140,50,240,300,520,650,1300,23260
Colombia,Latin America and the Caribbean,South America,Developing regions,90,90,110,80,80,70,130,140,140,180,140,130,170,120,190,230,210,140,170,220,350,490,610,650,490,680,1160,1990,2350,23200
Romania,Europe,Eastern Europe,Developed regions,180,240,230,240,270,270,340,350,620,700,720,490,470,400,420,410,480,440,330,400,350,410,370,390,360,340,300,310,290,22240
Russian Federation,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,110,170,160,230,260,390,380,480,530,820,960,900,960,1010,960,1170,1510,22000
