Airport,Terminal,Date,Hour,U.S. Citizen,,Non U.S. Citizen,,All,,,,,,,,,,,,
,,,,,,,,Wait Times,,Number Of Passengers Time Interval,,,,,,,,,,
,,,,Average Wait,Max Wait,Average Wait,Max Wait,Average Wait,Max Wait,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
,,,,Time,Time,Time,Time,Time,Time,,,,,,,,,,,
ORD,Terminal 5,01-01-2017,0300 - 0400,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,0
ORD,Terminal 5,01-01-2017,0400 - 0500,18,51,28,51,20,51,121,160,60,8,0,0,0,13,362,3,10
ORD,Terminal 5,01-01-2017,0600 - 0700,11,49,27,49,20,49,154,81,64,19,0,0,0,10,328,1,10
ORD,Terminal 5,01-01-2017,0700 - 0800,7,24,12,26,10,26,272,88,0,0,0,0,0,10,370,2,12
ORD,Terminal 5,01-01-2017,0800 - 0900,5,25,13,37,10,37,298,121,16,0,0,0,0,11,446,2,12
ORD,Terminal 5,01-01-2017,0900 - 1000,5,37,32,53,20,53,178,69,79,37,0,0,0,12,375,2,12
ORD,Terminal 5,01-01-2017,1000 - 1100,8,20,8,19,8,20,328,40,0,0,0,0,0,15,383,3,10
ORD,Terminal 5,01-01-2017,1100 - 1200,30,89,40,89,33,89,233,182,188,152,119,0,0,32,906,5,19
ORD,Terminal 5,01-01-2017,1200 - 1300,19,83,39,92,28,92,329,279,136,139,85,1,0,32,1001,5,24
ORD,Terminal 5,01-01-2017,1300 - 1400,10,51,17,55,13,55,787,375,41,16,0,0,0,47,1266,6,25
ORD,Terminal 5,01-01-2017,1400 - 1500,10,63,23,70,15,70,1367,486,176,65,12,0,0,88,2194,8,30
ORD,Terminal 5,01-01-2017,1500 - 1600,14,66,31,69,19,69,897,328,266,108,21,0,0,72,1692,8,27
ORD,Terminal 5,01-01-2017,1600 - 1700,13,44,24,47,17,47,479,218,173,12,0,0,0,40,922,4,24
ORD,Terminal 5,01-01-2017,1700 - 1800,15,42,16,41,15,42,755,285,191,0,0,0,0,56,1287,9,15
ORD,Terminal 5,01-01-2017,1800 - 1900,11,43,20,51,13,51,1399,572,156,25,0,0,0,79,2231,11,17
ORD,Terminal 5,01-01-2017,1900 - 2000,18,41,24,41,20,41,252,309,130,0,0,0,0,28,719,3,15
ORD,Terminal 5,01-01-2017,2000 - 2100,6,15,7,17,7,17,261,5,0,0,0,0,0,13,279,1,13
ORD,Terminal 5,01-01-2017,2100 - 2200,9,21,8,18,9,21,271,47,0,0,0,0,0,9,327,2,6
ORD,Terminal 5,01-01-2017,2200 - 2300,26,36,29,41,27,41,1,100,43,0,0,0,0,9,153,1,8
ORD,Terminal 5,01-01-2017,2300 - 0000,7,22,14,23,9,23,108,34,0,0,0,0,0,4,146,1,9
ORD,Terminal 5,01-02-2017,0000 - 0100,15,26,14,26,14,26,79,69,0,0,0,0,0,4,152,1,7
ORD,Terminal 5,01-02-2017,0100 - 0200,6,19,8,19,7,19,155,13,0,0,0,0,0,4,172,1,8
ORD,Terminal 5,01-02-2017,0400 - 0500,10,28,15,28,12,28,104,46,0,0,0,0,0,5,155,1,7
ORD,Terminal 5,01-02-2017,0600 - 0700,10,64,32,69,22,69,175,50,39,47,17,0,0,11,339,1,8
ORD,Terminal 5,01-02-2017,0700 - 0800,10,76,50,85,38,85,139,11,47,104,100,0,0,13,414,2,12
ORD,Terminal 5,01-02-2017,0800 - 0900,4,49,63,99,54,99,98,11,9,85,203,34,0,19,459,2,12
ORD,Terminal 5,01-02-2017,0900 - 1000,9,81,69,112,50,112,84,23,12,13,78,51,0,6,267,1,11
ORD,Terminal 5,01-02-2017,1000 - 1100,15,62,34,70,23,70,264,117,137,70,15,0,0,24,627,4,13
ORD,Terminal 5,01-02-2017,1100 - 1200,11,41,27,50,17,50,263,120,65,21,0,0,0,20,489,2,22
ORD,Terminal 5,01-02-2017,1200 - 1300,10,41,18,37,13,41,424,251,33,0,0,0,0,28,736,4,26
ORD,Terminal 5,01-02-2017,1300 - 1400,10,49,16,50,12,50,1216,506,92,10,0,0,0,67,1891,8,23
ORD,Terminal 5,01-02-2017,1400 - 1500,11,51,16,52,13,52,1262,493,80,27,0,0,0,73,1935,8,29
ORD,Terminal 5,01-02-2017,1500 - 1600,21,135,58,144,32,144,501,558,232,42,64,108,52,73,1630,8,26
ORD,Terminal 5,01-02-2017,1600 - 1700,50,120,98,153,64,153,75,35,126,57,295,136,36,25,785,6,20
ORD,Terminal 5,01-02-2017,1700 - 1800,27,115,87,135,51,135,152,74,156,49,54,113,42,26,666,5,34
ORD,Terminal 5,01-02-2017,1800 - 1900,31,71,43,76,34,76,253,244,389,258,99,0,0,38,1281,8,30
ORD,Terminal 5,01-02-2017,1900 - 2000,35,105,50,133,40,133,177,276,643,341,98,66,14,53,1668,8,26
ORD,Terminal 5,01-02-2017,2000 - 2100,29,96,66,123,40,123,152,307,261,115,107,93,6,38,1079,5,15
ORD,Terminal 5,01-02-2017,2100 - 2200,28,51,0,0,28,51,13,67,82,3,0,0,0,8,173,1,1
ORD,Terminal 5,01-02-2017,2300 - 0000,7,24,13,24,9,24,241,62,0,0,0,0,0,12,315,2,7
ORD,Terminal 5,01-03-2017,0000 - 0100,7,22,10,22,8,22,117,24,0,0,0,0,0,5,146,1,6
ORD,Terminal 5,01-03-2017,0600 - 0700,7,17,9,18,8,18,123,12,0,0,0,0,0,8,143,1,9
ORD,Terminal 5,01-03-2017,0700 - 0800,8,67,37,76,30,76,286,114,79,141,98,0,0,26,744,3,10
ORD,Terminal 5,01-03-2017,0800 - 0900,8,77,49,80,42,80,122,20,40,107,147,0,0,17,453,2,11
ORD,Terminal 5,01-03-2017,0900 - 1000,7,24,61,92,41,92,110,20,6,0,109,7,0,11,263,1,11
ORD,Terminal 5,01-03-2017,1000 - 1100,10,40,17,41,12,41,391,119,37,0,0,0,0,25,572,4,12
ORD,Terminal 5,01-03-2017,1100 - 1200,10,18,8,17,9,18,177,18,0,0,0,0,0,9,204,1,14
ORD,Terminal 5,01-03-2017,1200 - 1300,11,41,19,42,15,42,431,307,87,0,0,0,0,34,859,5,26
ORD,Terminal 5,01-03-2017,1300 - 1400,13,49,20,48,16,49,992,629,216,13,0,0,0,67,1917,9,27
ORD,Terminal 5,01-03-2017,1400 - 1500,8,39,14,42,10,42,1311,377,41,0,0,0,0,72,1801,7,30
ORD,Terminal 5,01-03-2017,1500 - 1600,10,42,20,54,14,54,1122,469,195,9,0,0,0,63,1858,8,29
ORD,Terminal 5,01-03-2017,1600 - 1700,11,53,28,56,18,56,605,260,161,64,0,0,0,42,1132,6,27
ORD,Terminal 5,01-03-2017,1700 - 1800,12,44,15,41,13,44,1019,355,126,0,0,0,0,54,1554,8,36
ORD,Terminal 5,01-03-2017,1800 - 1900,12,42,18,47,14,47,1225,543,94,6,0,0,0,69,1937,9,24
ORD,Terminal 5,01-03-2017,1900 - 2000,11,42,20,43,13,43,871,340,129,0,0,0,0,46,1386,6,22
ORD,Terminal 5,01-03-2017,2000 - 2100,7,20,9,20,7,20,210,14,0,0,0,0,0,9,233,1,8
ORD,Terminal 5,01-03-2017,2100 - 2200,9,20,9,19,9,20,142,31,0,0,0,0,0,4,177,1,4
ORD,Terminal 5,01-03-2017,2200 - 2300,24,33,28,32,24,33,1,160,7,0,0,0,0,10,178,1,8
ORD,Terminal 5,01-03-2017,2300 - 0000,8,21,11,21,9,21,232,67,0,0,0,0,0,10,309,2,9
ORD,Terminal 5,01-04-2017,0000 - 0100,12,26,13,26,12,26,196,125,0,0,0,0,0,12,333,2,7
ORD,Terminal 5,01-04-2017,0300 - 0400,16,31,16,31,16,31,62,60,5,0,0,0,0,2,129,1,5
ORD,Terminal 5,01-04-2017,0500 - 0600,9,30,17,31,11,31,84,35,5,0,0,0,0,1,125,1,4
ORD,Terminal 5,01-04-2017,0600 - 0700,11,64,38,72,27,72,141,56,44,42,36,0,0,10,329,1,6
ORD,Terminal 5,01-04-2017,0700 - 0800,8,59,26,63,23,63,110,41,38,39,9,0,0,8,245,1,10
ORD,Terminal 5,01-04-2017,0800 - 0900,7,89,59,119,45,119,326,61,49,44,281,113,0,28,902,4,10
ORD,Terminal 5,01-04-2017,1000 - 1100,8,30,16,33,10,33,350,117,13,0,0,0,0,15,495,3,12
ORD,Terminal 5,01-04-2017,1100 - 1200,10,63,36,68,22,68,495,159,135,134,49,0,0,39,1011,5,20
ORD,Terminal 5,01-04-2017,1200 - 1300,13,48,21,48,16,48,599,346,162,16,0,0,0,47,1170,6,19
ORD,Terminal 5,01-04-2017,1300 - 1400,12,39,14,38,13,39,677,313,41,0,0,0,0,28,1059,5,27
ORD,Terminal 5,01-04-2017,1400 - 1500,9,54,16,67,12,67,1386,370,81,61,5,0,0,72,1975,7,29
ORD,Terminal 5,01-04-2017,1500 - 1600,13,62,37,78,25,78,678,543,258,305,96,0,0,72,1952,9,30
ORD,Terminal 5,01-04-2017,1600 - 1700,15,47,24,69,18,69,503,510,78,42,15,0,0,49,1197,5,32
ORD,Terminal 5,01-04-2017,1700 - 1800,21,55,15,55,20,55,385,370,162,40,0,0,0,41,998,6,26
ORD,Terminal 5,01-04-2017,1800 - 1900,18,69,19,56,18,69,866,767,223,68,8,0,0,74,2006,10,24
ORD,Terminal 5,01-04-2017,1900 - 2000,12,45,20,57,15,57,758,394,107,20,0,0,0,49,1328,6,24
ORD,Terminal 5,01-04-2017,2000 - 2100,28,63,39,76,31,76,77,201,36,68,47,0,0,17,446,2,11
ORD,Terminal 5,01-04-2017,2200 - 2300,6,17,9,13,7,17,158,7,0,0,0,0,0,6,171,1,6
ORD,Terminal 5,01-04-2017,2300 - 0000,7,31,11,32,8,32,243,54,2,0,0,0,0,14,313,2,8
ORD,Terminal 5,01-05-2017,0000 - 0100,30,57,27,55,29,57,88,79,93,68,0,0,0,10,338,2,5
ORD,Terminal 5,01-05-2017,0200 - 0300,14,28,14,28,14,28,88,84,0,0,0,0,0,5,177,1,5
ORD,Terminal 5,01-05-2017,0500 - 0600,10,31,20,31,12,31,71,44,5,0,0,0,0,3,123,1,6
ORD,Terminal 5,01-05-2017,0600 - 0700,21,94,46,111,37,111,99,166,80,39,73,36,0,25,518,2,10
ORD,Terminal 5,01-05-2017,0700 - 0800,9,63,38,76,32,76,90,14,35,46,41,0,0,7,233,1,10
ORD,Terminal 5,01-05-2017,0800 - 0900,10,51,52,98,46,98,110,18,53,94,141,11,0,23,450,2,12
ORD,Terminal 5,01-05-2017,0900 - 1000,10,94,59,104,41,104,116,44,20,0,39,58,0,10,287,1,12
ORD,Terminal 5,01-05-2017,1000 - 1100,6,36,22,41,12,41,170,25,32,0,0,0,0,7,234,2,9
ORD,Terminal 5,01-05-2017,1100 - 1200,8,48,19,48,13,48,420,114,54,7,0,0,0,25,620,3,12
ORD,Terminal 5,01-05-2017,1200 - 1300,11,34,11,36,11,36,597,237,11,0,0,0,0,20,865,5,31
ORD,Terminal 5,01-05-2017,1300 - 1400,10,40,10,41,10,41,976,223,20,0,0,0,0,30,1249,6,36
ORD,Terminal 5,01-05-2017,1400 - 1500,13,41,19,41,16,41,762,518,93,0,0,0,0,41,1414,6,32
ORD,Terminal 5,01-05-2017,1500 - 1600,12,45,24,61,18,61,1091,448,317,145,2,0,0,72,2075,8,31
ORD,Terminal 5,01-05-2017,1600 - 1700,15,34,26,48,20,48,221,284,129,6,0,0,0,22,662,4,31
ORD,Terminal 5,01-05-2017,1700 - 1800,11,36,9,33,11,36,855,234,18,0,0,0,0,37,1144,6,24
ORD,Terminal 5,01-05-2017,1800 - 1900,12,37,17,45,14,45,854,534,63,0,0,0,0,47,1498,8,24
ORD,Terminal 5,01-05-2017,1900 - 2000,13,44,18,47,15,47,835,434,169,8,0,0,0,70,1516,7,27
ORD,Terminal 5,01-05-2017,2000 - 2100,7,19,10,19,8,19,150,13,0,0,0,0,0,4,167,1,8
ORD,Terminal 5,01-05-2017,2100 - 2200,5,27,6,9,5,27,139,14,0,0,0,0,0,6,159,2,7
ORD,Terminal 5,01-05-2017,2300 - 0000,13,35,15,37,13,37,392,284,13,0,0,0,0,23,712,4,15
ORD,Terminal 5,01-06-2017,0000 - 0100,5,17,6,12,5,17,173,1,0,0,0,0,0,6,180,1,14
ORD,Terminal 5,01-06-2017,0100 - 0200,7,18,9,18,8,18,89,9,0,0,0,0,0,4,102,1,6
ORD,Terminal 5,01-06-2017,0400 - 0500,32,51,37,51,33,51,0,57,73,15,0,0,0,4,149,1,6
ORD,Terminal 5,01-06-2017,0600 - 0700,9,53,32,60,26,60,234,93,140,120,0,0,0,19,606,2,10
ORD,Terminal 5,01-06-2017,0700 - 0800,6,66,29,66,23,66,106,54,25,29,19,0,0,8,241,1,7
ORD,Terminal 5,01-06-2017,0800 - 0900,6,63,69,147,59,147,126,44,4,17,138,101,20,14,464,2,11
ORD,Terminal 5,01-06-2017,0900 - 1000,11,142,89,146,57,146,110,25,14,4,2,22,71,12,260,1,14
ORD,Terminal 5,01-06-2017,1000 - 1100,13,56,43,87,24,87,256,83,55,34,65,0,0,23,516,4,15
ORD,Terminal 5,01-06-2017,1100 - 1200,6,44,26,52,17,52,241,90,79,17,0,0,0,15,442,2,21
ORD,Terminal 5,01-06-2017,1200 - 1300,13,39,16,40,14,40,495,361,72,0,0,0,0,38,966,5,25
ORD,Terminal 5,01-06-2017,1300 - 1400,11,42,15,41,13,42,977,453,70,0,0,0,0,50,1550,7,35
ORD,Terminal 5,01-06-2017,1400 - 1500,8,39,17,41,12,41,1479,429,123,0,0,0,0,87,2118,9,30
ORD,Terminal 5,01-06-2017,1500 - 1600,17,68,25,68,20,68,1029,297,388,187,26,0,0,69,1996,8,28
ORD,Terminal 5,01-06-2017,1600 - 1700,11,40,14,40,12,40,690,375,11,0,0,0,0,37,1113,6,34
ORD,Terminal 5,01-06-2017,1700 - 1800,17,48,16,48,17,48,854,566,230,2,0,0,0,77,1729,10,23
ORD,Terminal 5,01-06-2017,1800 - 1900,14,38,12,38,13,38,745,268,61,0,0,0,0,38,1112,6,28
ORD,Terminal 5,01-06-2017,1900 - 2000,9,25,9,25,9,25,895,215,0,0,0,0,0,23,1133,5,25
ORD,Terminal 5,01-06-2017,2000 - 2100,14,39,16,41,15,41,521,375,34,0,0,0,0,33,963,4,19
ORD,Terminal 5,01-06-2017,2100 - 2200,8,18,12,18,8,18,150,19,0,0,0,0,0,7,176,1,6
ORD,Terminal 5,01-06-2017,2300 - 0000,14,35,16,34,14,35,255,189,15,0,0,0,0,18,477,3,10
ORD,Terminal 5,01-07-2017,0000 - 0100,10,21,10,20,10,21,229,93,0,0,0,0,0,12,334,2,9
ORD,Terminal 5,01-07-2017,0500 - 0600,10,30,14,29,10,30,200,52,0,0,0,0,0,8,260,2,6
ORD,Terminal 5,01-07-2017,0600 - 0700,9,61,35,73,26,73,279,66,101,75,69,0,0,21,611,2,12
ORD,Terminal 5,01-07-2017,0700 - 0800,7,18,11,28,10,28,172,53,0,0,0,0,0,8,233,1,12
ORD,Terminal 5,01-07-2017,0800 - 0900,10,35,15,36,12,36,431,190,36,0,0,0,0,29,686,3,12
ORD,Terminal 5,01-07-2017,0900 - 1000,7,45,42,62,39,62,21,32,82,73,9,0,0,6,223,1,11
ORD,Terminal 5,01-07-2017,1000 - 1100,14,43,13,45,14,45,333,164,55,0,0,0,0,20,572,4,11
ORD,Terminal 5,01-07-2017,1100 - 1200,11,38,20,43,16,43,303,207,82,0,0,0,0,22,614,3,17
ORD,Terminal 5,01-07-2017,1200 - 1300,14,45,21,45,17,45,556,455,146,0,0,0,0,42,1199,6,33
ORD,Terminal 5,01-07-2017,1300 - 1400,8,25,16,42,13,42,1065,444,53,0,0,0,0,59,1621,7,37
ORD,Terminal 5,01-07-2017,1400 - 1500,14,59,22,87,17,87,1332,838,229,44,71,0,0,91,2605,11,33
ORD,Terminal 5,01-07-2017,1500 - 1600,11,56,29,85,19,85,859,461,203,93,28,0,0,63,1707,8,29
ORD,Terminal 5,01-07-2017,1600 - 1700,11,41,19,44,15,44,1113,598,183,0,0,0,0,66,1960,10,32
ORD,Terminal 5,01-07-2017,1700 - 1800,11,47,12,45,11,47,1003,108,100,5,0,0,0,48,1264,8,11
ORD,Terminal 5,01-07-2017,1800 - 1900,16,49,14,48,15,49,1087,477,199,7,0,0,0,74,1844,10,20
ORD,Terminal 5,01-07-2017,1900 - 2000,17,45,16,45,17,45,760,838,147,0,0,0,0,67,1812,10,21
ORD,Terminal 5,01-07-2017,2000 - 2100,17,62,17,55,17,62,386,194,84,47,8,0,0,20,739,4,12
ORD,Terminal 5,01-07-2017,2100 - 2200,12,25,12,20,12,25,221,94,0,0,0,0,0,11,326,2,8
ORD,Terminal 5,01-07-2017,2200 - 2300,10,30,24,33,13,33,165,116,8,0,0,0,0,12,301,2,7
ORD,Terminal 5,01-07-2017,2300 - 0000,8,19,10,19,8,19,146,9,0,0,0,0,0,5,160,1,7
ORD,Terminal 5,01-08-2017,0000 - 0100,14,28,16,29,15,29,228,250,0,0,0,0,0,17,495,3,9
ORD,Terminal 5,01-08-2017,0300 - 0400,7,18,6,20,7,20,119,16,0,0,0,0,0,5,140,1,6
ORD,Terminal 5,01-08-2017,0400 - 0500,12,26,15,25,13,26,93,55,0,0,0,0,0,2,150,1,6
ORD,Terminal 5,01-08-2017,0500 - 0600,7,26,12,31,9,31,323,63,3,0,0,0,0,13,402,3,7
ORD,Terminal 5,01-08-2017,0600 - 0700,7,51,28,54,23,54,251,118,153,70,0,0,0,25,617,2,14
ORD,Terminal 5,01-08-2017,0700 - 0800,8,55,36,72,35,72,59,35,25,62,31,0,0,5,217,1,10
ORD,Terminal 5,01-08-2017,0800 - 0900,7,64,56,113,38,113,490,60,3,19,178,150,0,29,929,4,13
ORD,Terminal 5,01-08-2017,1000 - 1100,8,25,15,31,11,31,282,117,5,0,0,0,0,11,415,3,12
ORD,Terminal 5,01-08-2017,1100 - 1200,6,36,35,65,18,65,475,75,68,117,21,0,0,25,781,4,25
ORD,Terminal 5,01-08-2017,1200 - 1300,10,45,18,47,14,47,920,486,117,5,0,0,0,54,1582,8,31
ORD,Terminal 5,01-08-2017,1300 - 1400,13,45,19,50,16,50,685,507,148,12,0,0,0,47,1399,6,29
ORD,Terminal 5,01-08-2017,1400 - 1500,10,62,24,69,17,69,976,403,220,109,17,0,0,70,1795,7,33
ORD,Terminal 5,01-08-2017,1500 - 1600,9,38,17,50,13,50,630,209,60,15,0,0,0,32,946,5,27
ORD,Terminal 5,01-08-2017,1600 - 1700,13,44,28,63,21,63,778,624,351,128,6,0,0,62,1949,9,26
ORD,Terminal 5,01-08-2017,1700 - 1800,13,66,31,75,20,75,912,395,229,138,57,0,0,57,1788,10,26
ORD,Terminal 5,01-08-2017,1800 - 1900,18,48,21,48,19,48,580,527,313,11,0,0,0,64,1495,8,22
ORD,Terminal 5,01-08-2017,1900 - 2000,18,44,27,47,21,47,448,698,311,7,0,0,0,53,1517,8,25
ORD,Terminal 5,01-08-2017,2000 - 2100,8,22,7,22,8,22,595,55,0,0,0,0,0,19,669,3,19
ORD,Terminal 5,01-08-2017,2300 - 0000,5,16,8,17,5,17,311,10,0,0,0,0,0,13,334,2,7
ORD,Terminal 5,01-09-2017,0000 - 0100,14,36,13,36,14,36,174,136,10,0,0,0,0,14,334,2,8
ORD,Terminal 5,01-09-2017,0100 - 0200,18,32,20,32,19,32,54,91,8,0,0,0,0,7,160,1,8
ORD,Terminal 5,01-09-2017,0300 - 0400,15,28,14,28,15,28,71,67,0,0,0,0,0,4,142,1,6
ORD,Terminal 5,01-09-2017,0500 - 0600,11,34,16,34,13,34,100,40,15,0,0,0,0,5,160,1,8
ORD,Terminal 5,01-09-2017,0600 - 0700,8,43,28,59,22,59,288,110,92,100,0,0,0,25,615,2,11
ORD,Terminal 5,01-09-2017,0700 - 0800,8,17,14,34,13,34,143,69,9,0,0,0,0,6,227,1,13
ORD,Terminal 5,01-09-2017,0800 - 0900,5,38,22,43,19,43,299,209,186,0,0,0,0,19,713,3,14
ORD,Terminal 5,01-09-2017,1000 - 1100,14,63,26,65,20,65,406,150,103,77,20,0,0,29,785,5,14
ORD,Terminal 5,01-09-2017,1100 - 1200,6,24,13,25,10,25,180,71,0,0,0,0,0,10,261,1,16
ORD,Terminal 5,01-09-2017,1200 - 1300,9,29,14,31,12,31,723,322,1,0,0,0,0,33,1079,5,25
ORD,Terminal 5,01-09-2017,1300 - 1400,10,33,12,39,11,39,1404,444,39,0,0,0,0,64,1951,8,38
ORD,Terminal 5,01-09-2017,1400 - 1500,7,20,6,21,7,21,1007,55,0,0,0,0,0,25,1087,5,28
ORD,Terminal 5,01-09-2017,1500 - 1600,8,28,10,29,9,29,1084,224,0,0,0,0,0,44,1352,6,36
ORD,Terminal 5,01-09-2017,1600 - 1700,11,46,16,46,14,46,1187,639,135,3,0,0,0,91,2055,10,30
ORD,Terminal 5,01-09-2017,1700 - 1800,14,43,15,44,14,44,418,129,78,0,0,0,0,23,648,4,14
ORD,Terminal 5,01-09-2017,1800 - 1900,21,52,11,52,18,52,633,258,271,28,0,0,0,45,1235,7,22
ORD,Terminal 5,01-09-2017,1900 - 2000,10,24,9,25,10,25,969,225,0,0,0,0,0,42,1236,6,23
ORD,Terminal 5,01-09-2017,2000 - 2100,9,43,7,27,8,43,546,81,5,0,0,0,0,16,648,3,22
ORD,Terminal 5,01-09-2017,2100 - 2200,6,14,7,14,6,14,169,0,0,0,0,0,0,3,172,1,14
ORD,Terminal 5,01-09-2017,2300 - 0000,9,27,10,26,9,27,350,120,0,0,0,0,0,20,490,3,15
ORD,Terminal 5,01-10-2017,0000 - 0100,17,29,19,29,18,29,87,215,0,0,0,0,0,14,316,2,14
ORD,Terminal 5,01-10-2017,0200 - 0300,7,20,8,20,7,20,143,28,0,0,0,0,0,5,176,1,7
ORD,Terminal 5,01-10-2017,0300 - 0400,15,36,18,38,16,38,84,56,22,0,0,0,0,36,198,1,8
ORD,Terminal 5,01-10-2017,0600 - 0700,9,63,40,78,30,78,243,74,87,86,105,0,0,23,618,2,13
ORD,Terminal 5,01-10-2017,0700 - 0800,7,27,17,35,13,35,139,74,13,0,0,0,0,6,232,1,14
ORD,Terminal 5,01-10-2017,0800 - 0900,6,23,19,45,18,45,191,159,86,0,0,0,0,13,449,2,15
ORD,Terminal 5,01-10-2017,0900 - 1000,9,32,29,42,22,42,103,44,97,0,0,0,0,12,256,1,17
ORD,Terminal 5,01-10-2017,1000 - 1100,1,8,4,16,3,16,66,2,0,0,0,0,0,2,70,1,14
ORD,Terminal 5,01-10-2017,1200 - 1300,7,25,9,26,8,26,356,58,0,0,0,0,0,11,425,3,22
ORD,Terminal 5,01-10-2017,1300 - 1400,9,36,10,38,9,38,655,150,20,0,0,0,0,26,851,5,27
ORD,Terminal 5,01-10-2017,1400 - 1500,10,38,15,43,13,43,945,480,59,0,0,0,0,51,1535,7,34
ORD,Terminal 5,01-10-2017,1500 - 1600,10,48,19,51,15,51,917,487,138,29,0,0,0,55,1626,7,28
ORD,Terminal 5,01-10-2017,1600 - 1700,7,35,23,51,17,51,580,413,247,16,0,0,0,42,1298,6,35
ORD,Terminal 5,01-10-2017,1700 - 1800,16,37,13,37,15,37,351,318,36,0,0,0,0,24,729,4,27
ORD,Terminal 5,01-10-2017,1800 - 1900,8,30,10,30,9,30,958,165,0,0,0,0,0,42,1165,8,16
ORD,Terminal 5,01-10-2017,1900 - 2000,11,32,13,29,12,32,440,190,4,0,0,0,0,20,654,3,22
ORD,Terminal 5,01-10-2017,2000 - 2100,8,32,11,32,9,32,883,222,3,0,0,0,0,29,1137,5,21
ORD,Terminal 5,01-10-2017,2100 - 2200,12,35,16,35,14,35,145,89,22,0,0,0,0,20,276,1,11
ORD,Terminal 5,01-10-2017,2200 - 2300,7,17,10,17,7,17,153,8,0,0,0,0,0,8,169,1,6
ORD,Terminal 5,01-10-2017,2300 - 0000,5,15,4,15,5,15,299,0,0,0,0,0,0,6,305,2,10
ORD,Terminal 5,01-11-2017,0000 - 0100,17,33,15,33,16,33,139,185,8,0,0,0,0,16,348,2,11
ORD,Terminal 5,01-11-2017,0600 - 0700,9,34,23,71,17,71,197,70,39,19,5,0,0,11,341,1,9
ORD,Terminal 5,01-11-2017,0700 - 0800,7,66,44,88,36,88,282,63,55,65,239,0,0,26,730,3,12
ORD,Terminal 5,01-11-2017,0800 - 0900,14,48,36,53,25,53,106,45,76,36,0,0,0,8,271,1,10
ORD,Terminal 5,01-11-2017,0900 - 1000,10,16,12,16,11,16,32,4,0,0,0,0,0,3,39,1,9
ORD,Terminal 5,01-11-2017,1100 - 1200,6,33,27,60,18,60,309,74,79,60,0,0,0,18,540,2,13
ORD,Terminal 5,01-11-2017,1200 - 1300,13,49,21,51,16,51,730,344,148,33,0,0,0,77,1332,8,23
ORD,Terminal 5,01-11-2017,1300 - 1400,9,23,12,25,10,25,416,115,0,0,0,0,0,11,542,4,28
ORD,Terminal 5,01-11-2017,1400 - 1500,9,25,11,32,10,32,884,223,2,0,0,0,0,64,1173,4,30
ORD,Terminal 5,01-11-2017,1500 - 1600,8,31,13,32,10,32,671,168,9,0,0,0,0,31,879,4,29
ORD,Terminal 5,01-11-2017,1600 - 1700,15,58,23,54,18,58,740,361,278,75,0,0,0,123,1577,10,21
ORD,Terminal 5,01-11-2017,1700 - 1800,13,54,36,68,23,68,350,215,81,119,29,0,0,27,821,4,28
ORD,Terminal 5,01-11-2017,1800 - 1900,13,50,13,47,13,50,767,203,112,15,0,0,0,37,1134,8,17
ORD,Terminal 5,01-11-2017,1900 - 2000,14,59,20,58,16,59,716,454,125,51,0,0,0,74,1420,6,19
ORD,Terminal 5,01-11-2017,2000 - 2100,22,87,45,87,34,87,197,182,142,83,145,0,0,20,769,4,18
ORD,Terminal 5,01-11-2017,2100 - 2200,7,40,18,41,9,41,281,0,24,0,0,0,0,10,315,2,12
ORD,Terminal 5,01-11-2017,2200 - 2300,10,22,10,22,10,22,110,32,0,0,0,0,0,9,151,1,10
ORD,Terminal 5,01-11-2017,2300 - 0000,13,28,13,28,13,28,267,155,0,0,0,0,0,14,436,3,11
ORD,Terminal 5,01-12-2017,0600 - 0700,14,99,48,101,37,101,237,66,49,68,110,57,0,19,606,2,10
ORD,Terminal 5,01-12-2017,0800 - 0900,10,61,33,75,25,75,328,115,64,79,79,0,0,25,690,3,11
ORD,Terminal 5,01-12-2017,0900 - 1000,14,55,62,87,57,87,16,14,12,63,105,0,0,7,217,1,11
ORD,Terminal 5,01-12-2017,1000 - 1100,3,14,10,15,7,15,51,0,0,0,0,0,0,4,55,1,8
ORD,Terminal 5,01-12-2017,1100 - 1200,7,22,15,25,10,25,117,33,0,0,0,0,0,9,159,1,14
ORD,Terminal 5,01-12-2017,1200 - 1300,7,33,15,36,11,36,640,228,36,0,0,0,0,26,930,5,26
ORD,Terminal 5,01-12-2017,1300 - 1400,10,49,17,52,14,52,603,258,59,17,0,0,0,31,968,5,26
ORD,Terminal 5,01-12-2017,1400 - 1500,11,39,19,41,16,41,340,154,109,0,0,0,0,69,672,3,26
ORD,Terminal 5,01-12-2017,1500 - 1600,7,46,16,55,11,55,1139,284,82,17,0,0,0,64,1586,8,24
ORD,Terminal 5,01-12-2017,1600 - 1700,7,40,23,52,13,52,644,216,97,17,0,0,0,35,1009,6,21
ORD,Terminal 5,01-12-2017,1700 - 1800,10,58,25,65,17,65,673,206,96,83,13,0,0,44,1115,6,27
ORD,Terminal 5,01-12-2017,1800 - 1900,7,37,8,22,7,37,477,47,1,0,0,0,0,14,539,5,18
ORD,Terminal 5,01-12-2017,1900 - 2000,12,37,17,39,13,39,532,322,30,0,0,0,0,36,920,5,22
