Airport,Terminal,Date,Hour,U.S. Citizen,,Non U.S. Citizen,,All,,,,,,,,,,,,
,,,,,,,,Wait Times,,Number Of Passengers Time Interval,,,,,,,,,,
,,,,Average Wait,Max Wait,Average Wait,Max Wait,Average Wait,Max Wait,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
,,,,Time,Time,Time,Time,Time,Time,,,,,,,,,,,
ORD,Terminal 5,10/20/2017,1500 - 1600,9,54,13,42,10,54,921,293,77,2,0,0,0,58,1351,7,20
ORD,Terminal 5,10/20/2017,1600 - 1700,14,42,24,49,18,49,519,505,182,14,0,0,0,49,1269,7,17
ORD,Terminal 5,10/20/2017,1700 - 1800,13,55,20,55,16,55,421,367,70,17,0,0,0,37,912,4,23
ORD,Terminal 5,10/20/2017,1800 - 1900,19,64,26,74,21,74,496,593,219,50,35,0,0,63,1456,8,16
ORD,Terminal 5,10/20/2017,1900 - 2000,9,50,26,53,18,53,237,100,46,36,0,0,0,13,432,2,14
ORD,Terminal 5,10/20/2017,2000 - 2100,12,42,19,42,15,42,258,130,26,0,0,0,0,17,431,2,13
ORD,Terminal 5,10/20/2017,2200 - 2300,11,20,8,20,9,20,112,32,0,0,0,0,0,1,145,1,8
ORD,Terminal 5,10/20/2017,2300 - 0000,14,27,17,30,16,30,58,67,0,0,0,0,0,5,130,1,8
ORD,Terminal 5,10/21/2017,0000 - 0100,9,18,10,19,10,19,189,47,0,0,0,0,0,10,246,3,8
ORD,Terminal 5,10/21/2017,0600 - 0700,3,25,15,32,12,32,158,83,8,0,0,0,0,11,260,1,8
ORD,Terminal 5,10/21/2017,0700 - 0800,8,43,23,57,19,57,149,80,67,13,0,0,0,10,319,2,9
ORD,Terminal 5,10/21/2017,0800 - 0900,8,25,13,32,11,32,417,151,5,0,0,0,0,15,588,3,9
ORD,Terminal 5,10/21/2017,0900 - 1000,11,30,13,30,12,30,267,190,0,0,0,0,0,23,480,2,9
ORD,Terminal 5,10/21/2017,1000 - 1100,2,16,12,23,8,23,175,64,0,0,0,0,0,7,246,2,10
ORD,Terminal 5,10/21/2017,1100 - 1200,16,48,22,48,20,48,222,221,106,14,0,0,0,24,587,3,20
ORD,Terminal 5,10/21/2017,1200 - 1300,15,47,16,53,15,53,357,246,53,14,0,0,0,25,695,5,23
ORD,Terminal 5,10/21/2017,1300 - 1400,21,84,32,93,26,93,1466,817,733,252,349,8,0,154,3779,17,27
ORD,Terminal 5,10/21/2017,1400 - 1500,27,56,25,56,26,56,233,268,377,38,0,0,0,35,951,4,30
ORD,Terminal 5,10/21/2017,1500 - 1600,10,59,22,66,15,66,1161,502,190,80,8,0,0,82,2023,9,23
ORD,Terminal 5,10/21/2017,1600 - 1700,14,51,21,51,16,51,507,341,139,15,0,0,0,32,1034,6,21
ORD,Terminal 5,10/21/2017,1700 - 1800,19,70,15,67,18,70,784,645,243,27,6,0,0,74,1779,11,21
ORD,Terminal 5,10/21/2017,1800 - 1900,18,57,19,58,18,58,554,421,208,27,0,0,0,57,1267,6,18
ORD,Terminal 5,10/21/2017,1900 - 2000,6,43,22,49,14,49,416,136,102,8,0,0,0,22,684,3,14
ORD,Terminal 5,10/21/2017,2200 - 2300,7,26,11,26,8,26,91,30,0,0,0,0,0,3,124,1,5
ORD,Terminal 5,10/21/2017,2300 - 0000,15,40,18,40,16,40,187,162,46,0,0,0,0,10,405,3,9
ORD,Terminal 5,10/22/2017,0000 - 0100,4,12,5,12,5,12,130,0,0,0,0,0,0,2,132,1,9
ORD,Terminal 5,10/22/2017,0600 - 0700,1,8,19,36,17,36,115,85,51,0,0,0,0,7,258,1,11
ORD,Terminal 5,10/22/2017,0700 - 0800,12,41,23,42,20,42,133,112,79,0,0,0,0,8,332,1,11
ORD,Terminal 5,10/22/2017,0800 - 0900,4,19,6,21,6,21,425,47,0,0,0,0,0,9,481,2,9
ORD,Terminal 5,10/22/2017,0900 - 1000,7,24,14,39,12,39,295,126,18,0,0,0,0,14,453,3,10
ORD,Terminal 5,10/22/2017,1000 - 1100,7,26,23,50,14,50,507,170,87,32,0,0,0,30,826,4,13
ORD,Terminal 5,10/22/2017,1100 - 1200,21,40,18,40,20,40,140,173,71,0,0,0,0,17,401,2,10
ORD,Terminal 5,10/22/2017,1200 - 1300,14,47,14,52,14,52,451,101,106,6,0,0,0,27,691,4,31
ORD,Terminal 5,10/22/2017,1300 - 1400,16,47,18,55,17,55,1061,629,298,32,0,0,0,76,2096,10,30
ORD,Terminal 5,10/22/2017,1400 - 1500,11,46,16,51,13,51,1216,544,137,10,0,0,0,83,1990,8,24
ORD,Terminal 5,10/22/2017,1500 - 1600,15,64,22,71,19,71,833,402,267,89,18,0,0,56,1665,8,25
ORD,Terminal 5,10/22/2017,1600 - 1700,11,31,17,35,14,35,181,115,12,0,0,0,0,11,319,3,22
ORD,Terminal 5,10/22/2017,1700 - 1800,16,47,15,48,16,48,718,520,150,7,0,0,0,60,1455,7,20
ORD,Terminal 5,10/22/2017,1800 - 1900,22,64,14,61,19,64,870,372,302,100,9,0,0,64,1717,9,18
ORD,Terminal 5,10/22/2017,1900 - 2000,11,46,19,46,15,46,502,189,114,2,0,0,0,23,830,4,14
ORD,Terminal 5,10/22/2017,2000 - 2100,6,30,13,32,9,32,142,52,3,0,0,0,0,6,203,1,11
ORD,Terminal 5,10/22/2017,2200 - 2300,9,22,12,22,10,22,96,44,0,0,0,0,0,2,142,1,8
ORD,Terminal 5,10/22/2017,2300 - 0000,11,21,9,21,10,21,191,57,0,0,0,0,0,6,254,2,7
ORD,Terminal 5,10/23/2017,0000 - 0100,7,16,7,16,7,16,131,4,0,0,0,0,0,3,138,1,7
ORD,Terminal 5,10/23/2017,0600 - 0700,1,10,3,11,3,11,162,0,0,0,0,0,0,5,167,1,11
